Simplified Character,Pinyin,Tone
一,yī,1
是,shì,4
不,bù,4
在,zài,4
人,rén,2
有,yǒu,3
我,wǒ,3
他,tā,1
这,zhè,4
个,gè,4
中,zhōng,1
为,wèi,4
大,dà,4
们,men,2
来,lái,2
上,shàng,4
以,yǐ,3
国,guó,2
和,hé,2
到,dào,4
地,dì,4
之,zhī,1
说,shuō,1
时,shí,2
要,yào,4
出,chū,1
也,yě,3
就,jiù,4
可,kě,3
会,huì,4
而,ér,2
于,yú,2
子,zǐ,3
生,shēng,1
对,duì,4
年,nián,2
能,néng,2
得,dé,2
你,nǐ,3
下,xià,4
自,zì,4
道,dào,4
那,nà,4
后,hòu,4
行,xíng,2
发,fā,1
过,guò,4
所,suǒ,3
用,yòng,4
作,zuò,4
事,shì,4
家,jiā,1
里,lǐ,3
成,chéng,2
方,fāng,1
其,qí,2
然,rán,2
种,zhǒng,3
去,qù,4
如,rú,2
多,duō,1
经,jīng,1
法,fǎ,3
学,xué,2
同,tóng,2
天,tiān,1
都,dōu,1
分,fēn,1
当,dāng,1
定,dìng,4
者,zhě,3
进,jìn,4
十,shí,2
主,zhǔ,3
日,rì,4
动,dòng,4
部,bù,4
现,xiàn,4
面,miàn,4
起,qǐ,3
小,xiǎo,3
理,lǐ,3
还,hái,2
军,jūn,1
与,yǔ,3
看,kàn,4
本,běn,3
好,hǎo,3
无,wú,2
前,qián,2
些,xiē,1
没,méi,2
心,xīn,1
因,yīn,1
从,cóng,2
三,sān,1
只,zhǐ,3
实,shí,2
样,yàng,4
开,kāi,1
此,cǐ,3
公,gōng,1
使,shǐ,3
将,jiāng,1
但,dàn,4
意,yì,4
力,lì,4
民,mín,2
二,èr,4
长,cháng,2
想,xiǎng,3
它,tā,1
机,jī,1
知,zhī,1
又,yòu,4
第,dì,4
明,míng,2
把,bǎ,3
已,yǐ,3
工,gōng,1
正,zhèng,4
见,jiàn,4
性,xìng,4
她,tā,1
外,wài,4
业,yè,4
关,guān,1
高,gāo,1
相,xiāng,1
两,liǎng,3
情,qíng,2
全,quán,2
文,wén,2
问,wèn,4
等,děng,3
由,yóu,2
并,bìng,4
月,yuè,4
应,yīng,1
间,jiān,1
重,zhòng,4
物,wù,4
政,zhèng,4
点,diǎn,3
体,tǐ,3
战,zhàn,4
